id,tag,title,hint,riddle,answer,ratings,rating_num,avg_rating,love_num,author,status,create_date,update_date
000001,入门,汤面1,"['鸡尾酒', '修理东西', '都给了他']",一个男人走进酒吧，点了一杯“螺丝刀”。酒保递给他一杯酒和一把真正的螺丝刀。男人满意地喝完酒离开了。为什么？,男人是名电工，他点的“螺丝刀”是一种鸡尾酒（伏特加+橙汁），但他今天真的需要一把螺丝刀修理东西。酒保以为他要的是酒+工具套餐，于是都给了他，而男人刚好需要，所以很满意。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000002,入门,汤面2,"['运钞车', '保安', '防弹衣']",一名劫匪冲进银行大喊：“所有人不许动！钱是国家的，命是自己的！”结果所有人都乖乖趴下，唯独一名男子站着微笑。劫匪愣住，随后灰溜溜地走了。为什么？,这名男子是银行的运钞车保安，当时他正穿着防弹衣持枪站岗。劫匪一进来就认出了他，知道硬抢必死无疑，只好假装狠话然后跑路。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000003,入门,汤面3,"['去世', '自动投喂机', '鸟食']",一位老太太每天都会去公园喂鸽子，但有一天她突然不喂了，鸽子们却依然聚集在原地等待。为什么？,"老太太其实已经去世了，但她的家人为了纪念她，每天继续用自动投喂机在固定时间撒鸟食。鸽子们不知道她已离世，依然准时来吃。  

 

\---

 

**2. 惊悚",[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000004,惊悚,汤面4,"['平行世界', '红灯电梯', '消失']",一对情侣入住酒店，前台说：“我们的电梯有点特别，如果按钮亮红灯千万别进去。”半夜，男友独自下楼，发现电梯按钮闪着红光，但他还是进去了。第二天，女友发现他消失了，调监控却看到他根本没进电梯。,“红灯电梯”是通往另一个空间的通道。男友进去后进入了平行世界，所以在原世界的监控里他并未进入电梯，而是直接消失了。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000005,惊悚,汤面5,"['灵魂', '死亡', '长眠']",女孩每晚都梦见自己被同一个黑影追逐。某天，她终于鼓起勇气回头，发现黑影竟是她自己。第二天，她再也没醒来。,女孩其实已经死了，黑影是她的灵魂。当她回头看清自己时，灵魂彻底脱离肉体，于是现实中的她“长眠”了。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000006,惊悚,汤面6,"['镜像', '灵体', '另一个他']",男子总感觉家里有“第二个人”，比如水杯莫名移动、电视自动换台。他安装监控后，发现一切正常。直到某天，他在监控里看到自己背对镜头……而当时他明明面朝屏幕。,"他家确实有“另一个他”——是镜中的倒影成了精。监控拍不到灵体，但能拍到被灵体控制的镜像动作。  

 

\---

 

**3. 情感",[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000007,情感,汤面7,"['父亲', '坚强', '写作业']",男孩每天放学都会去墓地待一小时。妈妈以为他心理有问题，跟踪后发现他只是在墓碑前安静写作业。,墓碑下埋的是他父亲。父亲临终前说：“男子汉要坚强，别总哭哭啼啼的。”于是男孩每天来陪爸爸，并坚持写完作业证明自己很坚强。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000008,情感,汤面8,"['灵魂', '爷爷', '椅子']",老奶奶总对着空椅子说话：“老头子，吃饭了。”子女以为她痴呆，直到整理遗物时发现一张老照片——椅子上曾坐着已逝的爷爷。,奶奶一直能看见爷爷的灵魂坐在那把椅子上，子女看不见，误以为她神志不清。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000009,情感,汤面9,"['烟味', '警告', '救婴儿']",流浪狗每天蹲在医院门口，护士们轮流喂它。某天它突然冲进大厅狂吠，被保安赶出去。当晚医院发生火灾，狗狗救了一个婴儿。,"狗狗闻到了烟味，想警告人们。被赶走后它绕到病房窗外继续叫，吵醒了婴儿的父母，让他们及时发现火情逃生。  

 

\---

 

**4. 脑洞",[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000010,脑洞,汤面10,"['时间暂停', '偷取时间', '妻子消失']",科学家发明了“时间暂停器”，但每次使用后，身边总有人消失。某天他暂停时间救下一个跳楼者，回家发现妻子不见了。,时间暂停的本质是“偷取他人时间”来延长自己的瞬间。每用一次，随机一个人的存在会被抹去，这次轮到了他的妻子。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
